date,value
1998-12-23,116.40718
1998-12-28,116.78032
1998-12-29,117.53422
1998-12-30,117.5037
1999-01-04,118.15207
1999-01-05,117.54799
1999-01-07,115.43642
1999-01-08,114.12479
1999-01-11,114.52123
1999-01-12,113.44771
1999-01-13,112.96656
1999-01-14,113.12277
1999-01-15,114.0232
1999-01-18,113.11207
1999-01-19,113.11648
1999-01-20,111.76685
1999-01-21,111.44599
1999-01-22,112.13202
1999-01-25,111.21855
1999-01-26,111.16773
1999-01-27,110.85928
1999-01-28,110.34265
1999-01-29,110.67084
1999-02-01,111.00173
1999-02-02,111.38676
1999-02-03,111.70973
1999-02-04,111.57993
1999-02-05,111.43817
1999-02-08,111.13642
1999-02-09,111.28541
1999-02-10,111.50848
1999-02-11,111.54907
1999-02-12,112.00068
1999-02-15,111.42979
1999-02-16,111.27098
1999-02-17,111.44281
1999-02-18,111.76859
1999-02-19,111.7438
1999-02-22,111.75056
1999-02-23,112.12328
1999-02-24,111.98471
1999-02-25,112.47744
1999-02-26,113.00512
1999-03-01,112.94229
1999-03-02,113.52484
1999-03-03,113.38311
1999-03-04,113.10207
1999-03-05,112.90374
1999-03-08,112.73553
1999-03-09,112.77943
1999-03-10,112.48434
1999-03-11,111.98255
1999-03-12,111.90664
1999-03-15,112.25648
1999-03-16,113.06266
1999-03-17,113.30238
1999-03-18,113.08745
1999-03-19,112.49609
1999-03-22,113.22951
1999-03-23,112.74915
1999-03-24,113.40881
1999-03-25,113.92939
1999-03-26,113.52749
1999-03-29,113.35128
1999-03-30,113.43155
1999-03-31,113.1069
1999-04-01,113.12467
1999-04-06,112.70321
1999-04-07,112.98527
1999-04-08,113.17147
1999-04-09,113.24733
1999-04-12,113.56544
1999-04-13,113.60517
1999-04-14,113.30263
1999-04-15,113.34172
1999-04-16,113.14813
1999-04-19,113.41394
1999-04-20,113.69976
1999-04-21,113.61445
1999-04-22,113.63861
1999-04-23,113.61578
1999-04-26,113.71539
1999-04-27,113.70645
1999-04-28,113.53511
1999-04-29,113.89557
1999-04-30,113.84343
1999-05-03,114.13284
1999-05-04,114.59921
1999-05-05,114.85336
1999-05-06,114.67453
1999-05-07,114.19535
1999-05-10,114.20524
1999-05-11,113.76323
1999-05-12,114.41384
1999-05-14,114.20187
1999-05-17,114.55425
1999-05-18,114.96584
1999-05-19,115.17905
1999-05-20,114.68149
1999-05-21,114.54648
1999-05-25,114.39628
1999-05-26,114.84434
1999-05-27,115.01658
1999-05-28,115.3244
1999-05-31,115.05252
1999-06-01,115.27734
1999-06-02,115.37586
1999-06-03,115.11915
1999-06-04,115.04157
1999-06-07,114.88801
1999-06-08,114.66132
1999-06-09,114.67513
1999-06-10,114.59053
1999-06-11,114.26527
1999-06-14,113.83074
1999-06-15,113.80918
1999-06-16,113.71387
1999-06-17,113.36716
1999-06-18,112.81598
1999-06-21,112.44369
1999-06-22,111.64279
1999-06-23,112.1498
1999-06-24,112.14097
1999-06-28,112.24001
1999-06-29,112.49764
1999-06-30,112.53538
1999-07-01,112.51878
1999-07-02,112.38726
1999-07-05,112.57649
1999-07-06,112.56126
1999-07-07,112.43644
1999-07-08,112.32267
1999-07-09,112.47765
1999-07-12,112.78397
1999-07-13,112.82027
1999-07-14,112.9814
1999-07-15,113.30965
1999-07-16,113.08563
1999-07-19,112.91862
1999-07-20,112.20246
1999-07-21,112.43879
1999-07-22,112.29052
1999-07-23,112.62151
1999-07-26,112.18146
1999-07-27,112.32551
1999-07-28,112.35284
1999-07-29,112.252
1999-07-30,111.94448
1999-08-02,112.01213
1999-08-03,111.74958
1999-08-04,111.32858
1999-08-05,111.61001
1999-08-06,111.67114
1999-08-09,111.83696
1999-08-10,112.24931
1999-08-11,112.14314
1999-08-12,112.11554
1999-08-13,112.19435
1999-08-16,112.16778
1999-08-17,111.93074
1999-08-18,112.09202
1999-08-19,112.37653
1999-08-20,112.09624
1999-08-23,112.27
1999-08-24,112.13189
1999-08-25,111.67798
1999-08-26,112.10168
