country,quarter,gdp_growth_qoq
CHE,2017-Q2,0.823856273
CHE,2017-Q3,0.792921747
CHE,2017-Q4,1.005454872
CHE,2018-Q1,1.267768603
CHE,2018-Q2,1.049561685
CHE,2018-Q3,-0.389585828
CHE,2018-Q4,0.347326365
CHE,2019-Q1,0.076540531
CHE,2019-Q2,0.652189545
CHE,2019-Q3,0.357400782
CHE,2019-Q4,0.184023737
CHE,2020-Q1,-1.167325774
CHE,2020-Q2,-6.345943502
CHE,2020-Q3,6.142994857
CHE,2020-Q4,0.930179759
CHE,2021-Q1,0.692305501
CHE,2021-Q2,2.695697812
CHE,2021-Q3,2.165786344
CHE,2021-Q4,0.79440509
CHE,2022-Q1,0.24660435
CHE,2022-Q2,0.83537873
CHE,2022-Q3,0.586084653
CHE,2022-Q4,0.183971078
CHE,2023-Q1,0.355770734
CHE,2023-Q2,-0.335928457
CHE,2023-Q3,0.335546049
CHE,2023-Q4,0.563469773
CHE,2024-Q1,-0.023072526
CHE,2024-Q2,0.897321992
CHE,2024-Q3,0.496850993
CHE,2024-Q4,0.389116238
CHE,2025-Q1,0.938069724
CHE,2025-Q2,-0.017102983
CHE,2025-Q3,-0.414328909
CHE,2025-Q4,0.517623842
CHN,2011-Q1,2.3
CHN,2011-Q2,2.4
CHN,2011-Q3,1.9
CHN,2011-Q4,1.6
CHN,2012-Q1,1.9
CHN,2012-Q2,2.1
CHN,2012-Q3,1.9
CHN,2012-Q4,2
CHN,2013-Q1,1.8
CHN,2013-Q2,1.8
CHN,2013-Q3,2.1
CHN,2013-Q4,1.6
CHN,2014-Q1,1.9
CHN,2014-Q2,1.8
CHN,2014-Q3,1.8
CHN,2014-Q4,1.7
CHN,2015-Q1,1.7
CHN,2015-Q2,1.9
CHN,2015-Q3,1.7
CHN,2015-Q4,1.6
CHN,2016-Q1,1.6
CHN,2016-Q2,1.8
CHN,2016-Q3,1.7
CHN,2016-Q4,1.6
CHN,2017-Q1,1.8
CHN,2017-Q2,1.8
CHN,2017-Q3,1.6
CHN,2017-Q4,1.5
CHN,2018-Q1,1.9
CHN,2018-Q2,1.8
CHN,2018-Q3,1.4
CHN,2018-Q4,1.2
CHN,2019-Q1,1.9
CHN,2019-Q2,1.6
CHN,2019-Q3,1.3
CHN,2019-Q4,0.9
CHN,2020-Q1,-10.3
CHN,2020-Q2,12.7
CHN,2020-Q3,2.9
CHN,2020-Q4,2.4
CHN,2021-Q1,0
CHN,2021-Q2,2.7
CHN,2021-Q3,0.5
CHN,2021-Q4,1.2
CHN,2022-Q1,0.1
CHN,2022-Q2,-0.7
CHN,2022-Q3,3.3
CHN,2022-Q4,0.5
CHN,2023-Q1,1.6
CHN,2023-Q2,1.3
CHN,2023-Q3,1.6
CHN,2023-Q4,0.8
CHN,2024-Q1,1.3
CHN,2024-Q2,1
CHN,2024-Q3,1.4
CHN,2024-Q4,1.6
CHN,2025-Q1,1.1
CHN,2025-Q2,1.2
CHN,2025-Q3,1.1
CHN,2025-Q4,1.1
CZE,1996-Q1,2.38562015
CZE,1996-Q2,0.730304999
CZE,1996-Q3,0.369390294
CZE,1996-Q4,0.161549411
CZE,1997-Q1,-0.443801166
CZE,1997-Q2,-0.402783829
CZE,1997-Q3,-0.689332046
CZE,1997-Q4,-0.082533596
CZE,1998-Q1,-0.080397509
CZE,1998-Q2,0.337871572
CZE,1998-Q3,-0.114096072
CZE,1998-Q4,0.048424579
CZE,1999-Q1,0.14392971
CZE,1999-Q2,0.276808127
CZE,1999-Q3,1.01342976
CZE,1999-Q4,1.087276637
CZE,2000-Q1,1.356644952
CZE,2000-Q2,1.144632072
CZE,2000-Q3,1.295030594
CZE,2000-Q4,0.244994628
CZE,2001-Q1,1.226318387
CZE,2001-Q2,0.221931695
CZE,2001-Q3,0.495166486
CZE,2001-Q4,0.494748221
CZE,2002-Q1,0.043831695
CZE,2002-Q2,0.461089428
CZE,2002-Q3,0.429582858
CZE,2002-Q4,0.551201998
CZE,2003-Q1,1.175328022
CZE,2003-Q2,0.929587078
CZE,2003-Q3,0.79649896
CZE,2003-Q4,0.969387031
CZE,2004-Q1,1.031747386
CZE,2004-Q2,1.192290497
CZE,2004-Q3,1.593145557
CZE,2004-Q4,1.592805413
CZE,2005-Q1,1.886117611
